Name	Day	Start time	End time	Week pattern	Location	Room Size	Class Size	Staff	Department
ARTUHX5.S/01	Monday	09:05	10:55	1-6, 8-12	P.C1	30	18	Sally Foster	ARHHPO_History
ARTUHX5.S/02	Thursday	09:05	10:55	1-2, 4-6, 8-12	P.E26	20	18	Sally Foster	ARHHPO_History
ASRP002.CL#	Tuesday	09:30	11:30	6, 8	C.2B43	21	21		APSSPC_PG
ASRP002.CL#	Tuesday	10:05	10:55	5	C.2Y8	34	26		APSSPC_PG
ASRP002.L#	Tuesday	09:05	12:55	09-Oct	C.2B121#	36	25		APSSPC_PG
ASRP002.L#	Tuesday	09:05	12:55	2-3, 5	C.2B129#	30	25		APSSPC_PG
ASRP003.CL#	Tuesday	11:05	12:55	1	C.2B43	21	20		APSSPC_PG
ASRP004.CL#	Tuesday	09:05	14:55	12	C.2B43	21	14	Alasdair Rutherford	APSSPC_PG
ASRP006.CL#	Tuesday	15:05	16:55	6	C.2A21	30	8		APSSPC_PG
ASRP021.L#	Tuesday	10:05	12:55	2	CB.4S23	10000	15	Richard Simmons	APSSPC_PG
BFIP013.CL/01	Monday	11:05	12:55	3-6, 9-12	C.2Y8	34	21		MGTECN
BFIP013.CL/02	Monday	15:05	16:55	3-6, 9-12	C.2A17	43	21		MGTECN
BFIP013.CL/03	Wednesday	09:05	10:55	3-6, 9-12	C.2B43	21	21		MGTECN
BFIP013.CL/04	Thursday	13:05	14:55	3-6, 9-12	C.2B43	21	21		MGTECN
BFIP013.CL/05	Thursday	16:05	17:55	3-6, 9-12	C.2B43	21	21		MGTECN
BFIP013.CL/06	Friday	11:05	12:55	3-6, 9-12	C.2B43	21	21		MGTECN
BFIP013.CL/07	Friday	14:05	15:55	3-6, 9-12	C.2B43	21	21		MGTECN
BFIP013.CL/08	Friday	16:05	17:55	3-6, 9-12	C.2B43	21	21		MGTECN
BFIP013.L#	Monday	09:05	10:55	3-6, 9-12	C.LTLogie	350	192		MGTECN
BFIP013.L#	Thursday	12:05	12:55	3-6, 8-12	C.LTA3	240	192	Maria Grydaki	MGTECN
BFIP019.L#	Friday	09:05	10:55	3-5, 8-12	C.LTA6	253	50		MGTECN
BFIP019.L#	Friday	12:05	12:55	3-5, 8-12	C.2B85#	60	50		MGTECN
BFIP019.S/01	Friday	13:05	14:55	3-5, 8-12	C.2B133	24	24		MGTECN
BFIP019.S/02	Friday	16:05	17:55	3-5, 8-12	C.2A9	26	24		MGTECN
BFIP025.L#	Friday	11:05	12:55	6, 9-10	C.LTA6	253	120	Maria Grydaki/Siobhan Lucey	MGTECN
BFIP025.L#	Monday	16:05	17:55	03-May	C.LTA3	240	120	Maria Grydaki/Siobhan Lucey	MGTECN
BFIP025.S/01	Tuesday	14:05	14:55	4-6, 9-11	C.2B121#	36	35	Maria Grydaki	MGTECN
BFIP025.S/02	Thursday	15:05	15:55	4-6, 9-11	C.2B87	48	35	Maria Grydaki	MGTECN
BFIP025.S/03	Thursday	16:05	16:55	4-6, 9-11	C.2B87	48	35	Maria Grydaki	MGTECN
BFIP025.S/04	Friday	15:05	15:55	4-6, 9-11	C.2B85#	60	35	Maria Grydaki	MGTECN
BHS.S#	Wednesday	15:05	16:55	1-6, 8-12, 1-5, 7-12	C.2B48	28	20		_MGT
BIOU1CB.L#	Friday	11:05	11:55	1-6, 8-11	C.LTA4	237	237	Tim Whalley	NATBES BS
BIOU1CB.L#	Monday	13:05	13:55	2-6, 8-12	C.LTA4	237	237	Tim Whalley	NATBES BS
BIOU1CB.L#	Tuesday	17:05	17:55	2-4, 6, 8, 10-12	C.LTA3	240	240	Tim Whalley	NATBES BS
BIOU3EG.L#	Monday	09:05	09:55	1-6, 8-12	C.LTA4	237	214	Tim Whalley	NATBES BS
BIOU3EG.L#	Thursday	09:05	09:55	1-6, 8-12	C.LTA3	240	214	Tim Whalley	NATBES BS
BIOU3EG.L#	Tuesday	12:05	12:55	1-6, 8-12	C.LTA3	240	214	Tim Whalley	NATBES BS
BIOU5AI.L#	Friday	15:05	15:55	1-3, 5-6, 8, 10-12	C.LTA3	240	50	Amaya Albalat/Jenson Lim/Simon Mackenzie	NATBES BS
BIOU5AI.L#	Monday	16:05	16:55	1-3, 5-6, 8, 10-12	C.2B85#	60	40	Amaya Albalat/Jenson Lim	NATBES BS
BIOU5AP.L#	Friday	09:05	09:55	1-6, 8-12	C.LTA3	240	157	Matthew Tinsley/Tim Whalley	NATBES BS
BIOU5AP.L#	Monday	12:05	12:55	1-6, 8-12	C.LTB4	179	168	Matthew Tinsley/Tim Whalley	NATBES BS
BIOU5AP.L#	Tuesday	09:05	09:55	1-6, 8-12	C.LTB4	179	165	Matthew Tinsley/Tim Whalley	NATBES BS
BIOU5MI.L#	Friday	10:05	10:55	1-6, 8-12	C.LTW1	94	72	Michael Wyman	NATBES BS
BIOU5MI.L#	Monday	09:05	09:55	1-6, 8-12	C.LTA5	92	72	Michael Wyman	NATBES BS
BIOU5MI.L#	Tuesday	10:05	10:55	1-6, 8-12	C.LTB4	179	72	Michael Wyman	NATBES BS
BIOU7CB.L#	Friday	12:05	12:55	08-Dec	C.2B86	40	40	Kirsty Park	NATBES BS
BIOU7CB.L#	Monday	14:05	14:55	08-Dec	C.LTA5	92	40	Kirsty Park	NATBES BS
BIOU7CB.L#	Thursday	09:05	09:55	08-Dec	C.2B85#	60	40	Kirsty Park	NATBES BS
BIOU7EP.CL#	Wednesday	09:05	11:55	3, 5	C.2A21	30	21	Michael Wyman	NATBES BS
BIOU7EP.L#	Monday	11:05	11:55	01-Jun	C.4W2	24	22	Michael Wyman	NATBES BS
BIOU7EP.L#	Thursday	10:05	10:55	01-Jun	C.4U5	50	22	Michael Wyman	NATBES BS
BIOU7FC.L#	Friday	14:05	15:55	2	C.2B133	24	20		NATBES BS
BIOU7FC.L#	Thursday	11:05	11:55	1	C.2B147	250	22		NATBES BS
BIOU7PT.CL#	Wednesday	09:05	11:55	10	C.2A21	30	23		NATBES BS
BIOU7PT.L#	Friday	09:05	09:55	08-Dec	C.4U5	50	30		NATBES BS
BIOU7PT.L#	Monday	10:05	10:55	08-Dec	C.4U5	50	30		NATBES BS
BIOU7PT.L#	Thursday	10:05	10:55	8-10, 12	C.4U5	50	30		NATBES BS
BIOU7PT.S#	Thursday	10:05	11:55	11	C.4U5	50	40		NATBES BS
BIOU9CE.CL#	Tuesday	14:05	16:55	08-Dec	C.2A21	30	22	Nils Bunnefeld/Timothy Paine	NATBES BS
BIOU9CE.L#	Friday	11:05	11:55	08-Dec	C.4W6	24	24	Nils Bunnefeld/Timothy Paine	NATBES BS
BIOU9CE.S#	Monday	11:05	11:55	08-Dec	C.2B129#	30	30	Nils Bunnefeld/Timothy Paine	NATBES BS
BIOU9PO.CL#	Friday	09:05	11:55	01-May	C.2A21	30	22	Nils Bunnefeld/Timothy Paine	NATBES BS
BIOU9PO.L#	Tuesday	16:05	16:55	01-May	C.3B145*	18	18	Nils Bunnefeld/Timothy Paine	NATBES BS
BIOU9PO.S#	Wednesday	11:05	11:55	01-May	C.2B85#	60	18	Nils Bunnefeld/Timothy Paine	NATBES BS
BSMP001.L#	Wednesday	09:05	10:55	3-6, 8-12	C.2B38	28	20	Liam Delaney	MGTMWO_PG
BSMP001.S#	Friday	10:05	11:55	3-6, 8-12	C.4W5	24	20	Liam Delaney	MGTMWO_PG
BSMP002.L#	Monday	10:05	17:55	3, 6, 10	C.2A87	60	30		MGTMWO_PG
BSMP002.L#	Tuesday	10:05	17:55	3, 6	C.2A87	60	30	Alex Wood	MGTMWO_PG
BSMP002.S#	Friday	12:05	15:55	10	C.2A87	60	34		MGTMWO_PG
BSMP002.S#	Tuesday	10:05	17:55	10	C.2B88	30	30		MGTMWO_PG
BUAP002.S#	Friday	13:05	17:55	3	C.3X11*C.2B42	16*20	10		MGTCAE
BUAP002.S#	Monday	13:05	17:55	03-Apr	C.3X11*C.2B42	16*20	10		MGTCAE
BUAP002.S#	Thursday	13:05	17:55	3	C.3X11*C.2B42	16*20	10		MGTCAE
BUAP002.S#	Tuesday	13:05	17:55	03-Apr	C.3X11*C.2B42	16*20	10		MGTCAE
BUAP002.S#	Wednesday	13:05	17:55	03-Apr	C.3X11*C.2B42	16*20	10		MGTCAE
BUSU9IB.L#	Tuesday	14:05	15:55	1-6, 8-12	C.LTB4	179	112	Markus Kittler	MGTMWO UG
BUSU9IB.S/01	Monday	15:05	15:55	3-6, 8-11	C.2V2	30	20		MGTMWO UG
BUSU9IB.S/02	Monday	16:05	16:55	2-6, 8-11	C.4W6	24	20		MGTMWO UG
BUSU9IB.S/03	Tuesday	12:05	12:55	2-6, 8-11	C.2B44	20	20		MGTMWO UG
BUSU9IB.S/04	Tuesday	13:05	13:55	2-6, 8-11	C.2B38	28	20		MGTMWO UG
BUSU9IB.S/05	Wednesday	09:05	09:55	2-6, 8-11	C.2A9	26	20		MGTMWO UG
BUSU9IB.S/06	Wednesday	10:05	10:55	2-6, 8-11	C.2A9	26	20		MGTMWO UG
BUSU9IB.S/07	Wednesday	11:05	11:55	2-6, 8-11	C.2B121#	36	20		MGTMWO UG
BUSU9IB.S/08	Wednesday	12:05	12:55	2-6, 8-11	C.3V2	34	20		MGTMWO UG
BUSU9IB.S/09	Thursday	15:05	15:55	2-6, 8-11	C.4W2	24	20		MGTMWO UG
BUSU9SM.L#	Friday	10:05	10:55	1-6, 8-12	C.LT2V1	142	130	Tom Forbes	MGTMWO UG
BUSU9SM.L#	Thursday	11:05	11:55	1-6, 8-12	C.LTA4	237	130	Tom Forbes	MGTMWO UG
BUSU9SM.S/01	Monday	13:05	14:55	3-6, 8-11	C.3V2	34	15	Tom Forbes	MGTMWO UG
BUSU9SM.S/02	Monday	16:05	17:55	3-6, 8-11	C.4W4	24	15	Tom Forbes	MGTMWO UG
BUSU9SM.S/03	Tuesday	10:05	11:55	3-6, 8-11	C.2B45	16	15	Tom Forbes	MGTMWO UG
BUSU9SM.S/04	Tuesday	16:05	17:55	3-6, 8-11	C.2B45	16	15	Tom Forbes	MGTMWO UG
BUSU9SM.S/05	Thursday	12:05	13:55	3-6, 8-11	C.2A19	30	15	Tom Forbes	MGTMWO UG
BUSU9SM.S/06	Thursday	15:05	16:55	3-6, 8-11	C.4W1	20	15	Tom Forbes	MGTMWO UG
BUSU9SM.S/07	Friday	11:05	12:55	3-6, 8-11	C.4W1	20	15	Tom Forbes	MGTMWO UG
BUSU9SM.S/08	Friday	13:05	14:55	3-6, 8-11	C.4W2	24	15	Tom Forbes	MGTMWO UG
BUSU9SM.S/09	Friday	15:05	16:55	3-6, 8-11	C.2B48	28	15	Tom Forbes	MGTMWO UG
CEHP.S#	Tuesday	12:05	12:55	2, 4, 6, 8, 10, 12	P.G18	24	15	Sally Foster	}HPO
CRMP010.L#	Tuesday	14:05	16:55	2-3, 5-6, 8-10	CB.4S23	10000	5	Bill Munro	APSSPC_PG
CRMU9TN.L#	Friday	13:05	13:55	2-6, 8-12	C.LT2V1	142	80	Bill Munro	APSSPC UG
CRMU9TN.L#	Tuesday	13:05	13:55	2-6, 8-12	C.LTA5	92	80	Bill Munro	APSSPC UG
CRMU9TN.S/01	Monday	12:05	13:55	2-6, 8-11	C.2A11	26	20	Bill Munro	APSSPC UG
CRMU9TN.S/02	Monday	15:05	16:55	2-6, 8-11	C.2X6	32	20	Bill Munro	APSSPC UG
CSCU9A1.CL/01	Monday	13:05	13:55	2-6, 8-12	C.1A11	60	50	Savi Maharaj/Leslie Smith	NATCSM CS
CSCU9A1.CL/02	Monday	17:05	17:55	2-6, 8-12	C.2A15	57	50	Savi Maharaj/Leslie Smith	NATCSM CS
CSCU9A1.CL/03	Tuesday	09:05	09:55	2-6, 8-12	C.1A11	60	50	Savi Maharaj/Leslie Smith	NATCSM CS
CSCU9A1.CL/04	Friday	09:05	09:55	2-6, 8-12	C.1A11	60	50	Savi Maharaj/Leslie Smith	NATCSM CS
CSCU9A1.CL/05	Friday	13:05	13:55	2-6, 8-12	C.2A17	43	43	Savi Maharaj/Leslie Smith	NATCSM CS
CSCU9A1.CL/06	Friday	14:05	14:55	2-6, 8-12	C.2A17	43	43	Savi Maharaj/Leslie Smith	NATCSM CS
CSCU9A1.L#	Monday	15:05	15:55	2-6, 8-12	C.LT2V1	142	100	Leslie Smith/Savi Maharaj	NATCSM CS
CSCU9A1.L#	Thursday	15:05	15:55	1-6, 8-12	C.LT2V1	142	100	Savi Maharaj/Leslie Smith	NATCSM CS
CSCU9A1.S/01	Monday	10:05	10:55	3-6, 8-12	C.2V3	20	18	Savi Maharaj/Leslie Smith	NATCSM CS
CSCU9A1.S/02	Monday	14:05	14:55	3-6, 8-12	C.4W3	20	18	Savi Maharaj/Leslie Smith	NATCSM CS
CSCU9A1.S/03	Tuesday	10:05	10:55	3-6, 8-12	C.2B42	20	18	Savi Maharaj/Leslie Smith	NATCSM CS
CSCU9A1.S/04	Tuesday	14:05	14:55	3-6, 8-12	C.2V3	20	18	Savi Maharaj/Leslie Smith	NATCSM CS
CSCU9A1.S/05	Wednesday	10:05	10:55	3-6, 8-12	C.2V3	20	18	Savi Maharaj/Leslie Smith	NATCSM CS
CSCU9A1.S/06	Wednesday	11:05	11:55	3-6, 8-12	C.2V3	20	18	Leslie Smith/Savi Maharaj	NATCSM CS
CSCU9A1.S/07	Friday	10:05	10:55	3-6, 8-12	C.2V3	20	18	Savi Maharaj/Leslie Smith	NATCSM CS
CSCU9A3.CL/01	Wednesday	10:05	11:55	2-6, 8-12	C.2A17	43	40	David Cairns/Marwan Fayed	NATCSM CS
CSCU9A3.CL/02	Friday	10:05	11:55	2-6, 8-12	C.2A17	43	40	David Cairns/Marwan Fayed	NATCSM CS
CSCU9A3.L#	Thursday	15:05	15:55	1-6, 8-12	C.LTA5	92	60	David Cairns/Leslie Smith	NATCSM CS
CSCU9A3.L#	Tuesday	15:05	15:55	1-6, 8-12	C.LTA5	92	70	David Cairns/Leslie Smith/Marwan Fayed	NATCSM CS
CSCU9A3.L#	Wednesday	12:05	12:55	1-6, 8-12	C.LTB4	179	70	Leslie Smith/David Cairns	NATCSM CS
CSCU9A3.S/01	Monday	09:05	09:55	3-6, 8-12	C.3X11	16	15	David Cairns/Marwan Fayed	NATCSM CS
CSCU9A3.S/02	Monday	10:05	10:55	3-6, 8-12	C.3X11	16	15	David Cairns/Marwan Fayed	NATCSM CS
CSCU9A3.S/03	Monday	11:05	11:55	3-6, 8-12	C.3X11	16	15	David Cairns/Marwan Fayed	NATCSM CS
CSCU9A3.S/04	Tuesday	09:05	09:55	3-6, 8-12	C.2V3	20	15	David Cairns/Marwan Fayed	NATCSM CS
CSCU9A3.S/05	Thursday	16:05	16:55	3-6, 8-12	C.2V3	20	15	David Cairns/Marwan Fayed	NATCSM CS
CSCU9N5.CL/01	Tuesday	11:05	11:55	1-6, 8-12	C.4X5	40	30	Bruce Graham/David Cairns	NATCSM CS
CSCU9N5.CL/02	Thursday	12:05	12:55	1-6, 8-12	C.4X5	40	30	Bruce Graham/David Cairns	NATCSM CS
CSCU9N5.L#	Friday	14:05	14:55	1-6, 8-12	C.LTA5	92	50	Bruce Graham/David Cairns	NATCSM CS
CSCU9N5.L#	Monday	13:05	13:55	1-6, 8-12	C.LTW1	94	40	Bruce Graham/David Cairns	NATCSM CS
CSCU9N5.L#	Thursday	09:05	09:55	1-6, 8-12	C.LTA5	92	40	Bruce Graham/David Cairns	NATCSM CS
CSCU9N5.S/01	Tuesday	13:05	13:55	2-6, 8-12	C.2A11	26	15	Bruce Graham/David Cairns	NATCSM CS
CSCU9N5.S/02	Tuesday	14:05	14:55	2-6, 8-12	C.4W4	24	15	Bruce Graham/David Cairns	NATCSM CS
CSCU9N5.S/03	Friday	12:05	12:55	2-6, 8-12	C.3X11	16	15	Bruce Graham/David Cairns	NATCSM CS
CSCU9P5.CL/01	Monday	12:05	12:55	2-6, 8-12	C.4X5	40	25	Andrea Bracciali/Simon Jones	NATCSM CS
CSCU9P5.CL/02	Friday	12:05	12:55	2-6, 8-12	C.4X5	40	25	Andrea Bracciali/Simon Jones	NATCSM CS
CSCU9P5.L#	Monday	15:05	16:55	2-6, 8-12	C.LTA5	92	54	Andrea Bracciali/Simon Jones	NATCSM CS
CSCU9P5.L#	Thursday	14:05	14:55	1-6, 8-12	C.LTB3	112	46	Andrea Bracciali/Simon Jones	NATCSM CS
CSCU9P5.S/01	Monday	11:05	11:55	3-6, 8-12	C.2B38	28	25	Andrea Bracciali/Simon Jones	NATCSM CS
CSCU9P5.S/02	Thursday	13:05	13:55	3-6, 8-12	C.4B108	24	24	Andrea Bracciali/Simon Jones	NATCSM CS
CSCU9P5.S/03	Thursday	17:05	17:55	3-6, 8-12	C.2A9	26	25	Andrea Bracciali/Simon Jones	NATCSM CS
CSCU9Q5.CL#	Tuesday	09:05	10:55	2-6, 8-12	C.4X5	40	40	Amir Hussain/Kevin Swingler	NATCSM CS
CSCU9Q5.L#	Friday	16:05	16:55	1-6, 8-12	C.LTW1	94	50	Amir Hussain/Kevin Swingler	NATCSM CS
CSCU9Q5.L#	Tuesday	12:05	12:55	1-6, 8-12	C.LT2V1	142	41	Amir Hussain/Kevin Swingler	NATCSM CS
CSCU9Q5.L#	Tuesday	15:05	15:55	1-6, 8-12	C.LTB3	112	50	Amir Hussain/Kevin Swingler	NATCSM CS
CSCU9Q5.S/01	Monday	10:05	10:55	2-6, 8-12	C.2A19	30	16	Kevin Swingler/Amir Hussain	NATCSM CS
CSCU9Q5.S/02	Monday	11:05	11:55	2-6, 8-12	C.2X6	32	16	Amir Hussain/Kevin Swingler	NATCSM CS
CSCU9Q5.S/03	Tuesday	17:05	17:55	2-6, 8-12	C.4W4	24	16	Amir Hussain/Kevin Swingler	NATCSM CS
CSCU9V7.CL#	Friday	13:05	14:55	1-6, 8-12	C.4X5	40	40	Evan Magill/Mario Kolberg	NATCSM CS
CSCU9V7.CL#	Tuesday	13:05	14:55	1-6, 8-12	C.4X5	40	40	Evan Magill/Mario Kolberg	NATCSM CS
CSCU9V7.L#	Thursday	14:05	14:55	1-6, 8-12	C.LTW1	94	30	Evan Magill	NATCSM CS
CSCU9V7.L#	Tuesday	09:05	09:55	1-6, 8-12	C.2A19	30	20	Mario Kolberg/Evan Magill	NATCSM CS
CSCU9YD.CL#	Thursday	15:05	15:55	2-6, 8-12	C.4X5	40	25		NATCSM CS
CSCU9YD.CL#	Wednesday	11:05	11:55	2-6, 8-12	C.4X5	40	25		NATCSM CS
CSCU9YD.L#	Thursday	15:05	15:55	1-6, 8-12	C.2B48	28	20	Mario Kolberg	NATCSM CS
CSCU9YD.L#	Wednesday	11:05	11:55	1-6, 8-12	C.4B108	24	12	Mario Kolberg	NATCSM CS
CSCU9YD.S#	Friday	09:05	09:55	2-6, 8-12	C.4W5	24	15	Mario Kolberg	NATCSM CS
CSCU9YE.CL#	Monday	11:05	11:55	3-6, 8-10	C.4X5	40	24	Gabriela Ochoa	NATCSM CS
CSCU9YE.L#	Thursday	10:05	10:55	1-6, 8-12	C.2B88	30	30	Gabriela Ochoa	NATCSM CS
CSCU9YE.L#	Thursday	16:05	16:55	1-6, 8-12	C.LTW1	94	20	Gabriela Ochoa	NATCSM CS
CSCU9YE.S/01	Tuesday	12:05	12:55	3-6, 8-9	C.2B46	20	14	Gabriela Ochoa	NATCSM CS
CSCU9YE.S/02	Tuesday	15:05	15:55	3-6, 8-9	C.2A19	30	15	Gabriela Ochoa	NATCSM CS
CSCU9YQ.CL#	Friday	10:05	11:55	2-6, 8-12	C.4X5	40	24	Kevin Swingler	NATCSM CS
CSCU9YQ.L#	Monday	12:05	12:55	1-6, 8-12	C.4B108	24	24	Kevin Swingler	NATCSM CS
CSCU9YQ.L#	Monday	15:05	15:55	1-6, 8-12	C.4B108	24	24	Kevin Swingler	NATCSM CS
CSCU9YQ.S#	Tuesday	11:05	11:55	2-6, 8-12	C.4B108	24	15	Kevin Swingler	NATCSM CS
CSCU9YS.CL#	Monday	14:05	14:55	5-6, 8-11	C.4X5	40	30	David Cairns	NATCSM CS
CSCU9YS.CL#	Monday	15:05	15:55	5-6, 8-11	C.4X5	40	5	David Cairns	NATCSM CS
CSCU9YS.L#	Monday	16:05	16:55	1-6, 8-12	C.LTB3	112	30	David Cairns	NATCSM CS
CSCU9YS.L#	Thursday	11:05	11:55	1-6, 8-12	C.2B88	30	30	David Cairns	NATCSM CS
CSCU9YS.S#	Friday	16:05	16:55	6, 8, 11-12	C.2B87	48	30	David Cairns	NATCSM CS
CSCU9YS.S#	Tuesday	10:05	10:55	6, 8, 11-12	C.4B108	24	24	David Cairns	NATCSM CS
CSCU9Z7.S#	Wednesday	12:05	12:55	1-6, 8-10	C.2V2	30	26	Simon Jones	NATCSM CS
CSTU939.S#	Tuesday	13:05	15:55	1-6, 8	C.3B145*	18	8	Matt Foley	ARHLTL_English
CTTPP01.S#	Wednesday	13:05	14:55	1-6, 8-12	P.D1	54	20		ARHCMC_PG
CTTPP03.S#	Wednesday	10:05	11:55	1-6, 8-12	P.SC3/4#	48	13	Saihong Li	ARH PG
CTTPP03.S#	Wednesday	15:05	16:55	08-Sep	P.E9	18	18	Sabine Dedenbach-Salazar	ARH PG
ECNU111.L#	Thursday	16:05	16:55	1-6, 8-12	C.LTA3	240	144	David Comerford	MGTECN
ECNU111.L#	Tuesday	12:05	12:55	1-6, 8-12	C.LTA4	237	144	David Comerford	MGTECN
ECNU111.L#	Wednesday	10:05	10:55	1-6, 8-12	C.LTLogie	350	240	David Comerford	MGTECN
ECNU211.L#	Friday	09:05	10:55	1-6, 8-12	C.LTB4	179	98		MGTECN
ECNU211.L#	Wednesday	11:05	11:55	01-Mar	C.LTB3	112	112		MGTECN
ECNU311.L#	Friday	11:05	12:55	1-6, 8-12	C.LTW1	94	49	Tanya Wilson	MGTECN
ECNU311.S/01	Wednesday	11:05	11:55	2-5, 9-12	C.2X6	32	24	Tanya Wilson	MGTECN
ECNU311.S/02	Friday	09:05	09:55	2-5, 9-12	C.2A9	26	24	Tanya Wilson	MGTECN
ECNU313.CL/01	Monday	14:05	14:55	3-6, 8-11	C.2B43	21	21		MGTECN
ECNU313.CL/02	Monday	15:05	15:55	3-6, 8-11	C.2B43	21	21		MGTECN
ECNU313.L#	Tuesday	09:05	10:55	1-6, 8-12	C.2X6	32	32		MGTECN
ECNU313.L#	Tuesday	16:05	16:55	1-6, 8-12	C.3V2	34	33	Siobhan Lucey	MGTECN
ECNU3AX.L#	Monday	12:05	13:55	1-6, 8-12	C.2B48	28	15	Frans De Vries/Seda Erdem	MGTECN
ECNU3AX.S#	Wednesday	10:05	10:55	2-6, 9-11	C.3X11	16	15	Frans De Vries/Seda Erdem	MGTECN
ECNU3EE.L#	Friday	16:05	17:55	1-6, 8-12	C.4W3	20	14	Seda Erdem	MGTECN
ECNU3EE.S#	Monday	14:05	14:55	3-6, 8-12	C.2B45	16	14	Seda Erdem	MGTECN
ECNU3FE.L#	Wednesday	09:05	10:55	1-6, 9-12	C.2A19	30	18	Theo Diasakos	MGTECN
ECNU3FE.S#	Tuesday	12:05	12:55	2-5, 9-12	C.2B42	20	20	Frans De Vries/Seda Erdem	MGTECN
ECNU414.L#	Tuesday	13:05	14:55	1, 3-6, 8-12	C.2B76	30	20	Stylianos Asimakopoulos	MGTECN
ECNU414.L#	Tuesday	13:05	14:55	2	C.LT2V1	142	0		MGTECN
